category_id,category_name
101359,Hộp Bút
101360,Khác
101361,Bút Chì Màu
101362,Bút Màu & Phấn Màu
101363,Màu Nước
101364,Sơn Dầu
101365,Sơn Acrylic
101366,Cọ Vẽ
101367,Bảng Màu
101368,Vải & Giá Vẽ
101369,Sổ vẽ phác thảo
100324,Ví hộ chiếu
100325,Túi du lịch nhiều ngăn
100326,Áo trùm vali
100327,Thẻ hành lý
100328,Dây đai vali
100329,Khóa vali
100330,Cân hành lý
100331,Gối & Bịt mắt
100332,Bộ chiết mỹ phẩm
100089,Ba lô
100334,Túi & cặp đứng laptop
100335,Túi chống sốc laptop
100336,Ba lô laptop
100337,Khác
100091,Ví dự tiệc & Ví cầm tay
100092,Túi đeo hông & Túi đeo ngực
100916,Bát & dụng cụ ăn
100917,Thiết bị du lịch
100918,"Vòng cổ, dây dắt & rọ mõm"
101925,Đồ chơi đuổi bắt
101926,"Đồ chơi gặm, xương nhai & bóng"
101927,Đĩa bay huấn luyện
101678,Đồ chơi cho thú nhỏ
101679,Đồ chơi cho chim
101681,Đệm & Thảm
101682,Nhà
101683,Phụ kiện nhà & chuồng
101684,Chuồng & lồng
101685,Bàn & cây cào móng
100921,Phụ kiện thủy sinh
100923,Khay & Bồn vệ sinh cho mèo
100924,Lót chuồng cho thú nhỏ
101337,Bút & Mực
101338,Bút Chì
101339,Dụng Cụ Tẩy Xóa
101340,Bút Lông Màu
101341,Bút Dạ Quang
101343,Bảng Viết & Giá Treo Bảng
101344,Máy tính cầm tay
101345,Dao Rọc Giấy & Máy Cắt Giấy
101346,Dây & Băng Keo Dán
101347,Hồ Dán
101348,Máy In Nhãn
101349,Dây Đeo Thẻ & Thẻ Tên
101350,Kẹp & Ghim Bấm
101351,Máy Đục Lỗ
101352,Kéo
101353,Mực Đóng Dấu
100839,Sữa chua
100840,Bột kem béo
100841,Bơ động vật & thực vật
100842,Phô mai & bột phô mai
100843,Kem
100844,Trứng
100845,Đậu phụ
100906,Thức ăn cho chó
100907,Snack cho chó
100908,Thức ăn cho mèo
100909,Snack cho mèo
100910,Thức ăn cho thú nhỏ
100911,Snack cho thú nhỏ
100912,Thức ăn cho cá
100913,Thức ăn cho chim
100914,Thức ăn cho bò sát
101320,Vòng Tay Thể Thao
101321,Băng Đô Thể Thao
101322,Mũ Thể Thao & Dã Ngoại
101323,Túi Chống Thấm
101324,Áo Mưa
101325,Ô/Dù
101326,Dụng Cụ Bảo Vệ Miệng & Băng Keo Thể Thao
